trade_date,ts_code,up_limit,down_limit
20250403,002099.SZ,5.72,4.68
20250403,002100.SZ,6.88,5.63
20250403,002101.SZ,14.74,12.06
20250403,002102.SZ,3.36,2.75
20250403,002103.SZ,10.27,8.41
20250403,002104.SZ,8.37,6.85
20250403,002105.SZ,9.41,7.7
20250403,002106.SZ,12.05,9.86
20250403,002107.SZ,5.48,4.48
20250403,002108.SZ,3.81,3.11
20250403,002109.SZ,3.59,2.93
20250403,002110.SZ,4.22,3.46
20250403,002111.SZ,12.25,10.03
20250403,002112.SZ,16.01,13.1
20250403,002114.SZ,7.05,5.77
20250403,002115.SZ,9.57,7.83
20250403,002116.SZ,11.19,9.15
20250403,002117.SZ,15.06,12.32
20250403,002119.SZ,18.46,15.1
20250403,002120.SZ,7.68,6.28
20250403,002121.SZ,4.74,3.88
20250403,002122.SZ,4.8,3.92
20250403,002123.SZ,16.1,13.18
20250403,002124.SZ,3.15,2.85
20250403,002125.SZ,11.87,9.71
20250403,002126.SZ,30.65,25.07
20250403,002127.SZ,4.3,3.52
20250403,002128.SZ,21.31,17.43
20250403,002129.SZ,9.94,8.14
20250403,002130.SZ,22.39,18.32
20250403,002131.SZ,3.92,3.2
20250403,002132.SZ,4.2,3.44
20250403,002133.SZ,2.78,2.28
20250403,002134.SZ,20.96,17.15
20250403,002135.SZ,4.75,3.89
20250403,002136.SZ,11.07,9.05
20250403,002137.SZ,8.55,6.99
20250403,002138.SZ,31.94,26.14
20250403,002139.SZ,16.6,13.58
20250403,002140.SZ,11.72,9.59
20250403,002141.SZ,1.77,1.61
20250403,002142.SZ,28.39,23.23
20250403,002144.SZ,12.34,10.1
20250403,002145.SZ,4.88,4.0
20250403,002146.SZ,1.63,1.33
20250403,002148.SZ,7.59,6.21
20250403,002149.SZ,22.42,18.34
20250403,002150.SZ,15.0,12.28
20250403,002151.SZ,28.07,22.97
20250403,002152.SZ,14.51,11.87
20250403,002153.SZ,8.61,7.05
20250403,002154.SZ,4.59,3.75
20250403,002155.SZ,24.27,19.85
20250403,002156.SZ,29.57,24.19
20250403,002157.SZ,3.07,2.51
20250403,002158.SZ,21.66,17.72
20250403,002159.SZ,17.08,13.98
20250403,002160.SZ,4.35,3.56
20250403,002161.SZ,6.48,5.3
20250403,002162.SZ,4.44,3.64
20250403,002163.SZ,8.35,6.83
20250403,002164.SZ,8.81,7.21
20250403,002165.SZ,7.03,5.75
20250403,002166.SZ,8.76,7.16
20250403,002167.SZ,10.04,8.22
20250403,002168.SZ,2.48,2.24
20250403,002169.SZ,6.49,5.31
20250403,002170.SZ,11.58,9.48
20250403,002171.SZ,10.01,8.19
20250403,002172.SZ,3.78,3.1
20250403,002173.SZ,10.54,8.62
20250403,002174.SZ,10.4,8.51
20250403,002175.SZ,5.3,4.34
20250403,002176.SZ,8.29,6.79
20250403,002177.SZ,4.82,3.94
20250403,002178.SZ,6.8,5.56
20250403,002179.SZ,45.05,36.86
20250403,002180.SZ,26.59,21.75
20250403,002181.SZ,6.02,4.92
20250403,002182.SZ,14.25,11.66
20250403,002183.SZ,5.06,4.14
20250403,002184.SZ,13.78,11.28
20250403,002185.SZ,11.65,9.53
20250403,002186.SZ,11.87,9.71
20250403,002187.SZ,7.33,5.99
20250403,002188.SZ,4.9,4.01
20250403,002189.SZ,21.02,17.2
20250403,002190.SZ,18.39,15.05
20250403,002191.SZ,4.18,3.42
20250403,002192.SZ,33.23,27.19
20250403,002193.SZ,6.03,4.93
20250403,002194.SZ,12.96,10.6
20250403,002195.SZ,6.16,5.04
20250403,002196.SZ,9.94,8.14
20250403,002197.SZ,5.51,4.99
20250403,002198.SZ,7.87,6.44
20250403,002199.SZ,5.73,5.19
20250403,002200.SZ,5.9,5.34
20250403,002201.SZ,6.56,5.36
20250403,002202.SZ,9.83,8.05
20250403,002203.SZ,10.34,8.46
20250403,002204.SZ,6.72,5.5
20250403,002205.SZ,10.41,8.51
20250403,002206.SZ,5.47,4.47
20250403,002207.SZ,6.26,5.12
20250403,002208.SZ,7.16,5.86
20250403,002209.SZ,12.55,10.27
20250403,002210.SZ,2.74,2.24
20250403,002211.SZ,4.03,3.29
20250403,002212.SZ,8.91,7.29
20250403,002213.SZ,16.32,13.36
20250403,002214.SZ,10.97,8.97
20250403,002215.SZ,9.99,8.17
20250403,002216.SZ,12.33,10.09
20250403,002217.SZ,2.26,2.04
20250403,002218.SZ,3.71,3.03
20250403,002219.SZ,2.75,2.25
20250403,002221.SZ,10.87,8.89
20250403,002222.SZ,38.63,31.61
20250403,002223.SZ,39.64,32.44
20250403,002224.SZ,5.03,4.11
